YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
2022,Alameda,43321982.92,0.0304,456.58,37508.21,30277551.57,0.0311,319.1,26214.33,1155,0.0122,1681.1159
2022,Alpine,,,,,,,,,0,,
2022,Amador,818594.02,0.0086,103.88,31484.39,616926.94,0.0087,78.29,23727.96,26,0.0033,579.6954
2022,Butte,6741305.87,0.0137,179.82,28932.64,6144920.67,0.0149,163.91,26373.05,233,0.0062,810.6428
2022,Calaveras,1055995.46,0.008,90.68,30171.3,850497.92,0.0084,73.04,24299.94,35,0.003,430.5711
2022,Colusa,1508827.38,0.035,439.38,34291.53,1216715.41,0.0369,354.31,27652.62,44,0.0128,1723.0635
2022,Contra Costa,31501691.38,0.027,401.81,37862.61,22049324.89,0.0267,281.24,26501.59,832,0.0106,1441.9133
2022,Del Norte,697296.75,0.0105,115.64,31695.31,592040.07,0.0115,98.18,26910.91,22,0.0036,501.8242
2022,El Dorado,2805117.95,0.0094,112.74,31167.98,2165439.96,0.0097,87.03,24060.44,90,0.0036,441.7025
2022,Fresno,24205398.48,0.0256,337.13,25723.06,23150198.37,0.0285,322.43,24601.7,941,0.0131,1707.6004
2022,Glenn,1684817.83,0.0237,325.0,28080.3,1557450.76,0.0264,300.43,25957.51,60,0.0116,1624.8071
2022,Humboldt,3462488.34,0.0129,130.97,29593.92,2907017.54,0.014,109.96,24846.3,117,0.0044,573.1901
2022,Imperial,12770714.56,0.047,690.12,26716.98,12982476.14,0.0544,701.57,27159.99,478,0.0258,3656.3091
2022,Inyo,752834.23,0.0139,191.32,32731.92,660209.5,0.0159,167.78,28704.76,23,0.0058,904.4473
2022,Kern,23431151.15,0.0289,403.1,28230.3,20920052.0,0.0306,359.9,25204.88,830,0.0143,1923.5824
2022,Kings,4245622.67,0.0308,384.71,25271.56,4105366.99,0.0345,372.0,24436.71,168,0.0152,1912.4683
2022,Lake,2702058.5,0.0137,196.48,30022.87,2208990.58,0.0156,160.63,24544.34,90,0.0065,868.7464
2022,Lassen,453591.09,0.009,95.75,22679.55,457134.06,0.011,96.5,22856.7,20,0.0042,548.8706
2022,Los Angeles,265026122.09,0.0269,484.17,29535.95,226740191.84,0.0285,414.23,25269.16,8973,0.0164,2181.7567
2022,Madera,3075373.94,0.0215,248.74,22613.04,3351282.91,0.0269,271.05,24641.79,136,0.011,1484.7946
2022,Marin,2817635.38,0.0072,98.1,37568.47,1586865.15,0.0058,55.25,21158.2,75,0.0026,342.8959
2022,Mariposa,673428.12,0.013,161.34,35443.59,561885.77,0.0137,134.62,29572.94,19,0.0046,587.4461
2022,Mendocino,4060851.89,0.0175,210.58,35007.34,3247761.14,0.0188,168.42,27997.94,116,0.006,915.9407
2022,Merced,12175973.77,0.0338,443.42,30516.22,10205189.51,0.0366,371.65,25576.92,399,0.0145,2056.4478
2022,Modoc,,,,,,,,,0,,
2022,Mono,,,,,,,,,0,,
2022,Monterey,15688000.13,0.0208,285.26,36654.21,11001749.88,0.021,200.05,25705.02,428,0.0078,1069.7323
2022,Napa,4030863.27,0.0203,279.26,33590.53,3041074.68,0.0208,210.69,25342.29,120,0.0083,1084.9383
2022,Nevada,2057315.32,0.0085,90.7,31171.44,1699881.31,0.0089,74.94,25755.78,66,0.0029,410.9867
2022,Orange,58575716.58,0.0199,288.88,28573.52,51093282.78,0.0206,251.98,24923.55,2050,0.0101,1354.7488
2022,Placer,6268898.38,0.0137,175.77,35218.53,4574386.93,0.0131,128.26,25698.8,178,0.005,655.0496
2022,Plumas,388886.1,0.0062,67.8,24305.38,370146.43,0.0071,64.53,23134.15,16,0.0028,501.046
2022,Riverside,44725234.19,0.0255,365.98,28487.41,39500410.88,0.0271,323.22,25159.5,1570,0.0128,1734.8046
2022,Sacramento,44731813.05,0.0367,513.54,37463.83,32611023.77,0.0371,374.39,27312.42,1194,0.0137,1896.8819
2022,San Benito,2976069.48,0.0286,432.19,41916.47,2028585.23,0.028,294.6,28571.62,71,0.0103,1637.5254
2022,San Bernardino,44952771.39,0.0387,565.95,28983.09,39829595.36,0.0418,501.45,25679.95,1551,0.0195,2753.138
2022,San Diego,62628297.55,0.0225,304.38,30730.27,53645664.08,0.0231,260.72,26322.7,2038,0.0099,1426.3837
