,county name,yes count 2020,no count 2020,total count 2020,yes perc 2020,no perc 2020,yes count 2018,no count 2018,total count 2018,yes perc 2018,no perc 2018,yes count 2022,no count 2022,total count 2022,yes perc 2022,no perc 2022
0,Alameda,329873.0,413277.0,743150.0,0.44388481464038215,0.5561151853596178,275550,280735,556285,0.4953396190801478,0.5046603809198522,182697.0,290746.0,473443.0,0.38589017051683094,0.6141098294831691
1,Alpine,344.0,369.0,713.0,0.48246844319775595,0.517531556802244,298,281,579,0.5146804835924007,0.4853195164075993,272.0,317.0,589.0,0.4617996604414261,0.5382003395585738
2,Amador,4615.0,17149.0,21764.0,0.21204741775408933,0.7879525822459107,5256,11775,17031,0.3086137044213493,0.6913862955786507,3590.0,14569.0,18159.0,0.19769811112946747,0.8023018888705326
3,Butte,29338.0,70174.0,99512.0,0.2948187153308144,0.7051812846691856,30908,55394,86302,0.35813770248661675,0.6418622975133832,16478.0,54015.0,70493.0,0.23375370604173465,0.7662462939582654
4,Calaveras,5538.0,20896.0,26434.0,0.209502912915185,0.790497087084815,6688,14224,20912,0.31981637337413926,0.6801836266258607,4280.0,16440.0,20720.0,0.20656370656370657,0.7934362934362934
5,Colusa,2022.0,5779.0,7801.0,0.25919753877707985,0.7408024612229201,1598,4019,5617,0.28449350186932526,0.7155064981306747,1186.0,4213.0,5399.0,0.2196703093165401,0.7803296906834599
6,Contra Costa,212213.0,350108.0,562321.0,0.37738764869176145,0.6226123513082386,173937,235739,409676,0.4245721008797196,0.5754278991202804,122486.0,257323.0,379809.0,0.3224936744521589,0.6775063255478412
7,Del Norte,3793.0,7345.0,11138.0,0.34054587897288563,0.6594541210271144,3607,4425,8032,0.44907868525896416,0.5509213147410359,2637.0,5481.0,8118.0,0.32483370288248337,0.6751662971175166
8,El Dorado,28619.0,83829.0,112448.0,0.25450875071143997,0.74549124928856,29038,56630,85668,0.33895970490731664,0.6610402950926834,19277.0,66575.0,85852.0,0.2245375762940875,0.7754624237059125
9,Fresno,118174.0,237669.0,355843.0,0.3320958962238965,0.6679041037761035,78831,167707,246538,0.31975192465258906,0.6802480753474109,57578.0,156778.0,214356.0,0.26860922950605537,0.7313907704939446
