,COUNTY,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
0,Alameda,31,636,0.8064516129032258,1.0,586.0,23.76923076923077,3.3076923076923075,3.076923076923077,77.84615384615384,80.38461538461539,76.76923076923077,82.23076923076923,87.07692307692308,88.07692307692308
1,Butte,5,97,0.8,1.0,77.0,27.0,4.0,4.0,83.5,83.0,86.5,86.5,90.0,91.5
2,Contra Costa,22,408,0.9545454545454546,1.0,498.0,27.333333333333332,2.8333333333333335,3.0833333333333335,80.25,79.5,77.0,82.75,83.75,85.33333333333333
3,Del Norte,1,9,1.0,0.0,0.0,,,,,,,,,
4,El Dorado,1,23,1.0,1.0,48.0,34.0,3.0,4.0,76.0,80.0,85.0,79.0,88.0,89.0
5,Fresno,20,395,0.95,0.95,591.0,25.636363636363637,3.0,3.1818181818181817,75.45454545454545,77.81818181818181,79.72727272727273,80.0,84.72727272727273,86.63636363636364
6,Humboldt,2,27,1.0,1.0,44.0,36.0,2.0,3.0,78.0,78.0,89.0,84.0,83.0,81.0
7,Imperial,5,100,1.0,1.0,169.0,24.0,3.5,4.0,88.25,83.5,79.5,89.0,87.5,89.0
8,Inyo,1,12,0.0,0.0,0.0,,,,,,,,,
9,Kern,19,453,1.0,0.8947368421052632,436.0,25.4,3.2,3.2,77.2,79.8,78.4,81.6,86.7,88.2
10,Kings,4,56,1.0,1.0,120.0,26.0,2.6666666666666665,3.0,81.33333333333333,79.0,77.33333333333333,86.0,84.33333333333333,86.0
11,Lake,1,12,1.0,1.0,0.0,,,,,,,,,
12,Los Angeles,216,4828,0.9722222222222222,0.7962962962962963,6400.0,25.48854961832061,3.3206106870229006,3.3740458015267176,80.12977099236642,80.62595419847328,77.19847328244275,84.06106870229007,86.58015267175573,88.08396946564885
13,Madera,3,59,1.0,1.0,39.0,27.0,2.0,3.0,80.0,76.0,76.0,83.0,81.0,84.0
14,Marin,2,47,0.5,1.0,76.0,29.0,4.5,4.5,85.0,85.5,84.5,87.0,92.0,92.5
15,Mendocino,2,34,0.0,1.0,50.0,31.0,4.0,4.0,83.0,83.0,77.0,84.0,89.0,92.0
