YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
2014,Alameda,44860311.11,0.0423,473.67,32366.75,34809758.15,0.046,367.55,25115.27,1386.0,0.0146,2090.8909
2014,Alpine,,,,,,,,,0.0,,
2014,Amador,518681.43,0.0077,68.88,25934.07,438715.28,0.0084,58.26,21935.76,20.0,0.0027,437.8486
2014,Butte,6445460.83,0.0156,147.62,24601.0,6033808.96,0.0172,138.19,23029.81,262.0,0.006,786.7302
2014,Calaveras,1262893.08,0.015,129.41,28702.12,1111710.59,0.0176,113.92,25266.15,44.0,0.0045,737.1657
2014,Colusa,1040255.82,0.0381,361.83,27375.15,954483.67,0.0461,331.99,25117.99,38.0,0.0132,1968.6957
2014,Contra Costa,29140575.63,0.0361,385.86,32450.53,22579354.93,0.038,298.98,25144.05,898.0,0.0119,1648.4071
2014,Del Norte,608406.74,0.0153,125.94,33800.37,538344.05,0.0164,111.44,29908.0,18.0,0.0037,831.2979
2014,El Dorado,2489377.93,0.0119,109.24,26203.98,2081533.06,0.0127,91.34,21910.87,95.0,0.0042,489.9509
2014,Fresno,28538328.8,0.0372,382.59,25756.61,26789522.29,0.0411,359.15,24178.27,1108.0,0.0149,2104.2337
2014,Glenn,1097417.76,0.0236,221.84,25521.34,1026068.35,0.0268,207.41,23862.05,43.0,0.0087,1069.9414
2014,Humboldt,2575731.38,0.014,108.8,24072.26,2312674.65,0.0158,97.69,21613.78,107.0,0.0045,584.6745
2014,Imperial,11189721.97,0.0534,549.13,23119.26,11594216.7,0.0631,568.99,23954.99,484.0,0.0238,3156.9416
2014,Inyo,478004.76,0.0116,121.14,29875.3,431133.27,0.0148,109.26,26945.83,16.0,0.0041,603.1424
2014,Kern,25439900.88,0.0393,432.68,25439.9,23859054.33,0.044,405.79,23859.05,1000.0,0.017,2368.4774
2014,Kings,5385247.56,0.045,433.8,25047.66,5171663.08,0.0503,416.6,24054.25,215.0,0.0173,2603.1094
2014,Lake,3012098.4,0.0203,206.07,26192.16,2678267.93,0.0241,183.23,23289.29,115.0,0.0079,997.3319
