,county name,eligible 2018,total registered 2018,democratic 2018,republican 2018,american independent 2018,green 2018,libertarian 2018,peace and freedom 2018,unknown 2018,other 2018,no party preference 2018,eligible 2020,total registered 2020,democratic 2020,republican 2020,american independent 2020,green 2020,libertarian 2020,peace and freedom 2020,unknown 2020,other 2020,no party preference 2020,eligible 2022,total registered 2022,democratic 2022,republican 2022,american independent 2022,green 2022,libertarian 2022,peace and freedom 2022,unknown 2022,other 2022,no party preference 2022
0,Alameda,1089154,881491,0.5566511739768188,0.11046851300807382,0.018619588855700173,0.007601892702251072,0.005286497536560214,0.003049378836539454,3.4033245943520694e-05,0.006645558491238141,0.2916433633468748,1089154,881491,0.5566511739768188,0.11046851300807382,0.018619588855700173,0.007601892702251072,0.005286497536560214,0.003049378836539454,3.4033245943520694e-05,0.006645558491238141,0.2916433633468748,1089154,881491,0.5566511739768188,0.11046851300807382,0.018619588855700173,0.007601892702251072,0.005286497536560214,0.003049378836539454,3.4033245943520694e-05,0.006645558491238141,0.2916433633468748
1,Alpine,939,758,0.41160949868073876,0.2704485488126649,0.032981530343007916,0.006596306068601583,0.0079155672823219,0.002638522427440633,0.0,0.00395778364116095,0.2638522427440633,939,758,0.41160949868073876,0.2704485488126649,0.032981530343007916,0.006596306068601583,0.0079155672823219,0.002638522427440633,0.0,0.00395778364116095,0.2638522427440633,939,758,0.41160949868073876,0.2704485488126649,0.032981530343007916,0.006596306068601583,0.0079155672823219,0.002638522427440633,0.0,0.00395778364116095,0.2638522427440633
2,Amador,27117,22305,0.2879623402824479,0.4399013674064111,0.042232683254875586,0.004572965702757229,0.01322573414032728,0.0027348128222371665,0.00026899798251513114,0.0022864828513786146,0.20681461555705,27117,22305,0.2879623402824479,0.4399013674064111,0.042232683254875586,0.004572965702757229,0.01322573414032728,0.0027348128222371665,0.00026899798251513114,0.0022864828513786146,0.20681461555705,27117,22305,0.2879623402824479,0.4399013674064111,0.042232683254875586,0.004572965702757229,0.01322573414032728,0.0027348128222371665,0.00026899798251513114,0.0022864828513786146,0.20681461555705
3,Butte,171771,122741,0.34905206899080177,0.34181732265502157,0.034552431542842245,0.007625813705281853,0.011259481346901199,0.003120391719148451,0.0026234102704067916,0.009752242526946986,0.24019683724264915,171771,122741,0.34905206899080177,0.34181732265502157,0.034552431542842245,0.007625813705281853,0.011259481346901199,0.003120391719148451,0.0026234102704067916,0.009752242526946986,0.24019683724264915,171771,122741,0.34905206899080177,0.34181732265502157,0.034552431542842245,0.007625813705281853,0.011259481346901199,0.003120391719148451,0.0026234102704067916,0.009752242526946986,0.24019683724264915
4,Calaveras,36101,29591,0.27369808387685446,0.414450339630293,0.045453009360954345,0.00635328309283228,0.01510594437497888,0.00317664154641614,0.002940083133385151,0.007907809807035922,0.23091480517724983,36101,29591,0.27369808387685446,0.414450339630293,0.045453009360954345,0.00635328309283228,0.01510594437497888,0.00317664154641614,0.002940083133385151,0.007907809807035922,0.23091480517724983,36101,29591,0.27369808387685446,0.414450339630293,0.045453009360954345,0.00635328309283228,0.01510594437497888,0.00317664154641614,0.002940083133385151,0.007907809807035922,0.23091480517724983
5,Colusa,12552,8792,0.3119881710646042,0.3939945404913558,0.02888989990900819,0.0022747952684258415,0.008075523202911737,0.0023885350318471337,0.0,0.0006824385805277526,0.25170609645131936,12552,8792,0.3119881710646042,0.3939945404913558,0.02888989990900819,0.0022747952684258415,0.008075523202911737,0.0023885350318471337,0.0,0.0006824385805277526,0.25170609645131936,12552,8792,0.3119881710646042,0.3939945404913558,0.02888989990900819,0.0022747952684258415,0.008075523202911737,0.0023885350318471337,0.0,0.0006824385805277526,0.25170609645131936
6,Contra Costa,759693,621309,0.48863126077362473,0.19865316613794423,0.025843823282778778,0.004738382994612987,0.0067454358459317345,0.002613836271484881,0.0018267882808715148,0.00160628608309231,0.26934102032965884,759693,621309,0.48863126077362473,0.19865316613794423,0.025843823282778778,0.004738382994612987,0.0067454358459317345,0.002613836271484881,0.0018267882808715148,0.00160628608309231,0.26934102032965884,759693,621309,0.48863126077362473,0.19865316613794423,0.025843823282778778,0.004738382994612987,0.0067454358459317345,0.002613836271484881,0.0018267882808715148,0.00160628608309231,0.26934102032965884
7,Del Norte,18039,14150,0.30487632508833923,0.35597173144876326,0.04438162544169611,0.007491166077738516,0.01060070671378092,0.005865724381625441,7.06713780918728e-05,0.008197879858657244,0.26254416961130744,18039,14150,0.30487632508833923,0.35597173144876326,0.04438162544169611,0.007491166077738516,0.01060070671378092,0.005865724381625441,7.06713780918728e-05,0.008197879858657244,0.26254416961130744,18039,14150,0.30487632508833923,0.35597173144876326,0.04438162544169611,0.007491166077738516,0.01060070671378092,0.005865724381625441,7.06713780918728e-05,0.008197879858657244,0.26254416961130744
8,El Dorado,141268,121192,0.287452967192554,0.4023780447554294,0.03981285893458314,0.005577925935705327,0.01406858538517394,0.002483662287939798,0.0006683609479173543,0.0076325169978216385,0.23992507756287543,141268,121192,0.287452967192554,0.4023780447554294,0.03981285893458314,0.005577925935705327,0.01406858538517394,0.002483662287939798,0.0006683609479173543,0.0076325169978216385,0.23992507756287543,141268,121192,0.287452967192554,0.4023780447554294,0.03981285893458314,0.005577925935705327,0.01406858538517394,0.002483662287939798,0.0006683609479173543,0.0076325169978216385,0.23992507756287543
9,Fresno,597497,456891,0.37854761857861063,0.33234184958775725,0.02774841264108945,0.0031911331149004907,0.006839705750386854,0.0034472116981949744,8.973693944507552e-05,0.009374227113250207,0.23842010457636503,597497,456891,0.37854761857861063,0.33234184958775725,0.02774841264108945,0.0031911331149004907,0.006839705750386854,0.0034472116981949744,8.973693944507552e-05,0.009374227113250207,0.23842010457636503,597497,456891,0.37854761857861063,0.33234184958775725,0.02774841264108945,0.0031911331149004907,0.006839705750386854,0.0034472116981949744,8.973693944507552e-05,0.009374227113250207,0.23842010457636503
10,Glenn,18520,12730,0.28059701492537314,0.42309505106048706,0.03809897879025923,0.0027494108405341712,0.010290652003142184,0.0029065200314218383,0.0,0.0018853102906520032,0.2403770620581304,18520,12730,0.28059701492537314,0.42309505106048706,0.03809897879025923,0.0027494108405341712,0.010290652003142184,0.0029065200314218383,0.0,0.0018853102906520032,0.2403770620581304,18520,12730,0.28059701492537314,0.42309505106048706,0.03809897879025923,0.0027494108405341712,0.010290652003142184,0.0029065200314218383,0.0,0.0018853102906520032,0.2403770620581304
11,Humboldt,105521,78518,0.4385109146947197,0.22770574900022925,0.03181436103823327,0.023625156015181233,0.01049440892534196,0.004546728138770727,0.0024325632339081485,0.003018416159351996,0.2578517027942637,105521,78518,0.4385109146947197,0.22770574900022925,0.03181436103823327,0.023625156015181233,0.01049440892534196,0.004546728138770727,0.0024325632339081485,0.003018416159351996,0.2578517027942637,105521,78518,0.4385109146947197,0.22770574900022925,0.03181436103823327,0.023625156015181233,0.01049440892534196,0.004546728138770727,0.0024325632339081485,0.003018416159351996,0.2578517027942637
12,Imperial,101197,69728,0.47533272143184946,0.1838716154199174,0.02225791647544745,0.002351996328591097,0.005349357503441946,0.005248967416245984,0.005550137677833869,0.005722234970169803,0.294315052776503,101197,69728,0.47533272143184946,0.1838716154199174,0.02225791647544745,0.002351996328591097,0.005349357503441946,0.005248967416245984,0.005550137677833869,0.005722234970169803,0.294315052776503,101197,69728,0.47533272143184946,0.1838716154199174,0.02225791647544745,0.002351996328591097,0.005349357503441946,0.005248967416245984,0.005550137677833869,0.005722234970169803,0.294315052776503
13,Inyo,13689,10036,0.30290952570745316,0.3978676763650857,0.04165005978477481,0.005380629732961339,0.010063770426464728,0.0024910322837783977,9.964129135113592e-05,0.004782781984854523,0.23475488242327622,13689,10036,0.30290952570745316,0.3978676763650857,0.04165005978477481,0.005380629732961339,0.010063770426464728,0.0024910322837783977,9.964129135113592e-05,0.004782781984854523,0.23475488242327622,13689,10036,0.30290952570745316,0.3978676763650857,0.04165005978477481,0.005380629732961339,0.010063770426464728,0.0024910322837783977,9.964129135113592e-05,0.004782781984854523,0.23475488242327622
14,Kern,518711,375881,0.33537741998132387,0.3527579207249103,0.0331142036974468,0.002604547715899447,0.00863039100140736,0.0036793559663829776,0.003961360111311825,0.001380756143566714,0.2584940446577507,518711,375881,0.33537741998132387,0.3527579207249103,0.0331142036974468,0.002604547715899447,0.00863039100140736,0.0036793559663829776,0.003961360111311825,0.001380756143566714,0.2584940446577507,518711,375881,0.33537741998132387,0.3527579207249103,0.0331142036974468,0.002604547715899447,0.00863039100140736,0.0036793559663829776,0.003961360111311825,0.001380756143566714,0.2584940446577507
