Election Date,Election Name,County ID,County Name,Ballot Measure ID,Ballot Measure Name,Ballot Measure Title,Yes Votes,No Votes
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"451,259","292,029"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","492,564","266,133"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"441,297","307,149"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"559,974","197,351"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"452,629","304,242"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"423,439","309,630"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"215,724","515,607"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"374,224","371,858"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"339,056","413,079"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"329,873","413,277"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"428,202","310,370"
11/3/2020,"November 3, 2020, General Election",1,Alameda,1.9E+11,Proposition 25,Eliminates Money Bail System,"410,147","310,951"
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,415,307
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services",405,321
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,338,374
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,469,261
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,339,386
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,412,302
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,198,510
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,322,401
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,316,398
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,344,369
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,296,416
11/3/2020,"November 3, 2020, General Election",2,Alpine,1.9E+11,Proposition 25,Eliminates Money Bail System,391,318
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"7,348","14,469"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","5,697","16,361"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"4,070","17,727"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"7,618","14,451"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"4,739","17,377"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"8,076","13,535"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"10,186","11,401"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"4,626","17,087"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"14,632","7,133"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"4,615","17,149"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"8,959","12,672"
11/3/2020,"November 3, 2020, General Election",3,Amador,1.9E+11,Proposition 25,Eliminates Money Bail System,"6,007","15,470"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"42,718","56,532"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","38,455","62,246"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"29,620","69,849"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"48,215","52,572"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"33,318","67,670"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"46,144","52,283"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"43,029","55,357"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"31,358","67,845"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"62,843","36,836"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"29,338","70,174"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"47,050","51,304"
11/3/2020,"November 3, 2020, General Election",4,Butte,1.9E+11,Proposition 25,Eliminates Money Bail System,"35,581","62,468"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 14,Bonds to Continue Stem Cell Research,"9,330","17,079"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 15,"Property Tax to Fund Schools, Government Services","7,248","19,481"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 16,Affirmative Action in Government Decisions,"5,251","21,128"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 17,Restores Right to Vote After Prison Term,"9,906","16,806"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 18,17-year-old Primary Voting Rights,"5,876","20,963"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 19,Changes Certain Property Tax Rules,"10,476","15,764"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 20,Parole Restrictions for Certain Offenses,"11,974","14,137"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 21,Expands Governmentsâ€™ Authority to Rent Control,"5,553","20,750"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 22,App-Based Drivers and Employee Benefits,"17,669","8,668"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 23,State Requirements for Kidney Dialysis Clinics,"5,538","20,896"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 24,Amends Consumer Privacy Laws,"10,921","15,255"
11/3/2020,"November 3, 2020, General Election",5,Calaveras,1.9E+11,Proposition 25,Eliminates Money Bail System,"7,625","18,539"
