"Label (Grouping)","California!!Count","California!!Percent","Alameda County, California!!Count","Alameda County, California!!Percent","Alpine County, California!!Count","Alpine County, California!!Percent","Amador County, California!!Count","Amador County, California!!Percent","Butte County, California!!Count","Butte County, California!!Percent","Calaveras County, California!!Count","Calaveras County, California!!Percent","Colusa County, California!!Count","Colusa County, California!!Percent","Contra Costa County, California!!Count","Contra Costa County, California!!Percent","Del Norte County, California!!Count","Del Norte County, California!!Percent","El Dorado County, California!!Count","El Dorado County, California!!Percent","Fresno County, California!!Count","Fresno County, California!!Percent","Glenn County, California!!Count","Glenn County, California!!Percent","Humboldt County, California!!Count","Humboldt County, California!!Percent","Imperial County, California!!Count","Imperial County, California!!Percent","Inyo County, California!!Count","Inyo County, California!!Percent","Kern County, California!!Count","Kern County, California!!Percent","Kings County, California!!Count","Kings County, California!!Percent","Lake County, California!!Count","Lake County, California!!Percent","Lassen County, California!!Count","Lassen County, California!!Percent","Los Angeles County, California!!Count","Los Angeles County, California!!Percent","Madera County, California!!Count","Madera County, California!!Percent","Marin County, California!!Count","Marin County, California!!Percent","Mariposa County, California!!Count","Mariposa County, California!!Percent","Mendocino County, California!!Count","Mendocino County, California!!Percent","Merced County, California!!Count","Merced County, California!!Percent","Modoc County, California!!Count","Modoc County, California!!Percent","Mono County, California!!Count","Mono County, California!!Percent","Monterey County, California!!Count","Monterey County, California!!Percent","Napa County, California!!Count","Napa County, California!!Percent","Nevada County, California!!Count","Nevada County, California!!Percent","Orange County, California!!Count","Orange County, California!!Percent","Placer County, California!!Count","Placer County, California!!Percent","Plumas County, California!!Count","Plumas County, California!!Percent","Riverside County, California!!Count","Riverside County, California!!Percent","Sacramento County, California!!Count","Sacramento County, California!!Percent","San Benito County, California!!Count","San Benito County, California!!Percent","San Bernardino County, California!!Count","San Bernardino County, California!!Percent","San Diego County, California!!Count","San Diego County, California!!Percent","San Francisco County, California!!Count","San Francisco County, California!!Percent","San Joaquin County, California!!Count","San Joaquin County, California!!Percent","San Luis Obispo County, California!!Count","San Luis Obispo County, California!!Percent","San Mateo County, California!!Count","San Mateo County, California!!Percent","Santa Barbara County, California!!Count","Santa Barbara County, California!!Percent","Santa Clara County, California!!Count","Santa Clara County, California!!Percent","Santa Cruz County, California!!Count","Santa Cruz County, California!!Percent","Shasta County, California!!Count","Shasta County, California!!Percent","Sierra County, California!!Count","Sierra County, California!!Percent","Siskiyou County, California!!Count","Siskiyou County, California!!Percent","Solano County, California!!Count","Solano County, California!!Percent","Sonoma County, California!!Count","Sonoma County, California!!Percent","Stanislaus County, California!!Count","Stanislaus County, California!!Percent","Sutter County, California!!Count","Sutter County, California!!Percent","Tehama County, California!!Count","Tehama County, California!!Percent","Trinity County, California!!Count","Trinity County, California!!Percent","Tulare County, California!!Count","Tulare County, California!!Percent","Tuolumne County, California!!Count","Tuolumne County, California!!Percent","Ventura County, California!!Count","Ventura County, California!!Percent","Yolo County, California!!Count","Yolo County, California!!Percent","Yuba County, California!!Count","Yuba County, California!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","39,538,223","100.0%","1,682,353","100.0%","1,204","100.0%","40,474","100.0%","211,632","100.0%","45,292","100.0%","21,839","100.0%","1,165,927","100.0%","27,743","100.0%","191,185","100.0%","1,008,654","100.0%","28,917","100.0%","136,463","100.0%","179,702","100.0%","19,016","100.0%","909,235","100.0%","152,486","100.0%","68,163","100.0%","32,730","100.0%","10,014,009","100.0%","156,255","100.0%","262,321","100.0%","17,131","100.0%","91,601","100.0%","281,202","100.0%","8,700","100.0%","13,195","100.0%","439,035","100.0%","138,019","100.0%","102,241","100.0%","3,186,989","100.0%","404,739","100.0%","19,790","100.0%","2,418,185","100.0%","1,585,055","100.0%","64,209","100.0%","2,181,654","100.0%","3,298,634","100.0%","873,965","100.0%","779,233","100.0%","282,424","100.0%","764,442","100.0%","448,229","100.0%","1,936,259","100.0%","270,861","100.0%","182,155","100.0%","3,236","100.0%","44,076","100.0%","453,491","100.0%","488,863","100.0%","552,878","100.0%","99,633","100.0%","65,829","100.0%","16,112","100.0%","473,117","100.0%","55,620","100.0%","843,843","100.0%","216,403","100.0%","81,575","100.0%"
"        Under 5 years","2,137,439","5.4%","89,533","5.3%","52","4.3%","1,648","4.1%","11,199","5.3%","1,962","4.3%","1,407","6.4%","62,032","5.3%","1,412","5.1%","8,523","4.5%","69,464","6.9%","1,844","6.4%","6,678","4.9%","10,762","6.0%","939","4.9%","63,450","7.0%","10,409","6.8%","3,617","5.3%","1,391","4.2%","501,341","5.0%","10,488","6.7%","11,547","4.4%","730","4.3%","4,576","5.0%","20,026","7.1%","452","5.2%","717","5.4%","26,907","6.1%","6,139","4.4%","4,186","4.1%","156,601","4.9%","20,691","5.1%","845","4.3%","139,284","5.8%","93,714","5.9%","4,088","6.4%","135,299","6.2%","174,765","5.3%","34,890","4.0%","50,041","6.4%","12,536","4.4%","40,001","5.2%","24,738","5.5%","101,857","5.3%","11,939","4.4%","9,592","5.3%","129","4.0%","2,054","4.7%","25,069","5.5%","22,615","4.6%","35,390","6.4%","6,255","6.3%","3,861","5.9%","711","4.4%","33,927","7.2%","2,360","4.2%","43,544","5.2%","11,307","5.2%","5,905","7.2%"
"        5 to 9 years","2,393,219","6.1%","96,179","5.7%","52","4.3%","1,748","4.3%","12,051","5.7%","2,162","4.8%","1,661","7.6%","71,913","6.2%","1,670","6.0%","10,602","5.5%","79,135","7.8%","2,089","7.2%","7,328","5.4%","13,156","7.3%","1,116","5.9%","72,533","8.0%","11,276","7.4%","4,033","5.9%","1,567","4.8%","558,298","5.6%","12,102","7.7%","14,157","5.4%","850","5.0%","5,463","6.0%","22,629","8.0%","505","5.8%","749","5.7%","30,564","7.0%","7,357","5.3%","4,993","4.9%","179,099","5.6%","25,486","6.3%","931","4.7%","162,794","6.7%","102,944","6.5%","4,373","6.8%","152,291","7.0%","190,866","5.8%","30,486","3.5%","56,946","7.3%","13,967","4.9%","42,577","5.6%","26,749","6.0%","111,171","5.7%","13,678","5.0%","10,975","6.0%","146","4.5%","2,299","5.2%","27,142","6.0%","26,201","5.4%","39,989","7.2%","6,736","6.8%","4,554","6.9%","749","4.6%","40,056","8.5%","2,613","4.7%","50,660","6.0%","12,503","5.8%","6,300","7.7%"
"        10 to 14 years","2,613,891","6.6%","99,955","5.9%","48","4.0%","1,883","4.7%","12,626","6.0%","2,414","5.3%","1,971","9.0%","80,309","6.9%","1,697","6.1%","12,398","6.5%","82,603","8.2%","2,212","7.6%","8,079","5.9%","14,696","8.2%","1,153","6.1%","77,389","8.5%","12,165","8.0%","4,118","6.0%","1,611","4.9%","618,897","6.2%","12,944","8.3%","16,749","6.4%","882","5.1%","5,589","6.1%","24,208","8.6%","534","6.1%","735","5.6%","33,167","7.6%","8,562","6.2%","5,453","5.3%","203,858","6.4%","28,366","7.0%","1,067","5.4%","182,738","7.6%","108,136","6.8%","4,949","7.7%","166,800","7.6%","202,893","6.2%","30,152","3.5%","62,324","8.0%","15,072","5.3%","44,663","5.8%","28,878","6.4%","120,444","6.2%","15,776","5.8%","11,523","6.3%","169","5.2%","2,636","6.0%","29,067","6.4%","29,042","5.9%","43,844","7.9%","7,532","7.6%","4,803","7.3%","770","4.8%","43,033","9.1%","2,753","4.9%","57,835","6.9%","13,426","6.2%","6,295","7.7%"
"        15 to 19 years","2,644,071","6.7%","103,168","6.1%","66","5.5%","1,768","4.4%","14,780","7.0%","2,255","5.0%","1,692","7.7%","78,206","6.7%","1,425","5.1%","11,639","6.1%","77,039","7.6%","2,049","7.1%","8,389","6.1%","14,164","7.9%","943","5.0%","70,740","7.8%","10,952","7.2%","3,657","5.4%","1,440","4.4%","643,025","6.4%","11,902","7.6%","16,119","6.1%","764","4.5%","5,160","5.6%","24,782","8.8%","445","5.1%","700","5.3%","34,191","7.8%","8,845","6.4%","5,070","5.0%","218,738","6.9%","26,651","6.6%","894","4.5%","182,022","7.5%","102,113","6.4%","4,707","7.3%","161,587","7.4%","213,907","6.5%","30,788","3.5%","59,992","7.7%","17,544","6.2%","42,995","5.6%","34,980","7.8%","120,670","6.2%","20,104","7.4%","10,528","5.8%","148","4.6%","2,441","5.5%","28,724","6.3%","29,291","6.0%","41,518","7.5%","7,285","7.3%","4,268","6.5%","721","4.5%","39,908","8.4%","2,671","4.8%","58,686","7.0%","19,103","8.8%","5,712","7.0%"
"        20 to 24 years","2,731,553","6.9%","108,699","6.5%","54","4.5%","1,491","3.7%","19,018","9.0%","1,749","3.9%","1,281","5.9%","65,602","5.6%","1,439","5.2%","8,520","4.5%","72,303","7.2%","1,689","5.8%","10,073","7.4%","12,159","6.8%","828","4.4%","63,042","6.9%","11,332","7.4%","3,103","4.6%","2,294","7.0%","716,562","7.2%","10,001","6.4%","11,155","4.3%","656","3.8%","4,286","4.7%","21,338","7.6%","332","3.8%","665","5.0%","31,131","7.1%","7,687","5.6%","3,841","3.8%","226,004","7.1%","20,019","4.9%","702","3.5%","166,044","6.9%","102,748","6.5%","4,112","6.4%","159,319","7.3%","263,921","8.0%","54,485","6.2%","51,304","6.6%","26,792","9.5%","41,689","5.5%","42,246","9.4%","121,862","6.3%","22,024","8.1%","9,467","5.2%","71","2.2%","2,003","4.5%","28,467","6.3%","27,644","5.7%","36,307","6.6%","6,212","6.2%","3,397","5.2%","698","4.3%","32,346","6.8%","2,558","4.6%","54,890","6.5%","26,529","12.3%","5,363","6.6%"
"        25 to 29 years","2,915,258","7.4%","125,032","7.4%","79","6.6%","1,846","4.6%","14,438","6.8%","2,004","4.4%","1,374","6.3%","67,074","5.8%","2,019","7.3%","8,412","4.4%","74,433","7.4%","1,720","5.9%","10,069","7.4%","13,015","7.2%","1,045","5.5%","68,641","7.5%","12,660","8.3%","3,661","5.4%","3,366","10.3%","806,522","8.1%","10,415","6.7%","10,541","4.0%","816","4.8%","5,119","5.6%","19,863","7.1%","408","4.7%","1,025","7.8%","32,053","7.3%","8,121","5.9%","4,242","4.1%","226,922","7.1%","19,358","4.8%","896","4.5%","160,000","6.6%","116,799","7.4%","3,982","6.2%","163,088","7.5%","255,005","7.7%","98,991","11.3%","52,011","6.7%","15,971","5.7%","53,915","7.1%","32,287","7.2%","156,753","8.1%","16,821","6.2%","10,335","5.7%","116","3.6%","2,035","4.6%","30,479","6.7%","29,141","6.0%","37,562","6.8%","6,630","6.7%","3,766","5.7%","962","6.0%","32,298","6.8%","3,001","5.4%","54,195","6.4%","15,929","7.4%","5,997","7.4%"
"        30 to 34 years","2,911,574","7.4%","142,392","8.5%","67","5.6%","2,262","5.6%","13,695","6.5%","2,384","5.3%","1,425","6.5%","75,570","6.5%","2,051","7.4%","9,940","5.2%","72,614","7.2%","1,867","6.5%","9,682","7.1%","12,913","7.2%","1,179","6.2%","66,953","7.4%","12,553","8.2%","4,190","6.1%","3,344","10.2%","785,157","7.8%","10,368","6.6%","13,067","5.0%","901","5.3%","5,776","6.3%","18,848","6.7%","479","5.5%","1,109","8.4%","31,567","7.2%","8,439","6.1%","5,586","5.5%","212,443","6.7%","22,369","5.5%","999","5.0%","156,825","6.5%","120,399","7.6%","4,358","6.8%","155,944","7.1%","247,478","7.5%","103,419","11.8%","52,903","6.8%","16,945","6.0%","59,960","7.8%","29,988","6.7%","157,785","8.1%","17,029","6.3%","11,438","6.3%","164","5.1%","2,342","5.3%","32,111","7.1%","31,558","6.5%","38,135","6.9%","6,621","6.6%","4,014","6.1%","1,005","6.2%","32,039","6.8%","3,368","6.1%","53,538","6.3%","13,971","6.5%","6,048","7.4%"
"        35 to 39 years","2,784,129","7.0%","137,017","8.1%","61","5.1%","2,364","5.8%","13,252","6.3%","2,349","5.2%","1,420","6.5%","81,283","7.0%","2,048","7.4%","11,433","6.0%","68,963","6.8%","1,845","6.4%","9,741","7.1%","12,080","6.7%","1,229","6.5%","63,310","7.0%","11,640","7.6%","4,038","5.9%","2,826","8.6%","722,012","7.2%","10,404","6.7%","15,704","6.0%","913","5.3%","6,054","6.6%","18,582","6.6%","460","5.3%","979","7.4%","30,605","7.0%","8,810","6.4%","6,308","6.2%","212,676","6.7%","26,588","6.6%","1,120","5.7%","158,127","6.5%","113,863","7.2%","4,525","7.0%","146,930","6.7%","235,005","7.1%","79,086","9.0%","53,137","6.8%","17,401","6.2%","57,869","7.6%","28,278","6.3%","149,190","7.7%","17,344","6.4%","11,253","6.2%","190","5.9%","2,509","5.7%","31,655","7.0%","32,538","6.7%","37,495","6.8%","6,339","6.4%","3,938","6.0%","1,023","6.3%","31,801","6.7%","3,393","6.1%","53,724","6.4%","13,665","6.3%","5,737","7.0%"
