COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Alameda,2018,240,4733,0.8208333333333333,1.0,8426,,3.445859872611465,,81.2484076433121,81.43312101910828,79.75796178343948,84.73885350318471,86.52229299363057,87.98089171974522
Butte,2018,32,584,0.75,1.0,1040,,3.6666666666666665,,80.66666666666667,83.0,84.0,86.33333333333333,87.66666666666667,89.33333333333333
Columbia,2018,2,26,1.0,1.0,80,,4.0,,84.0,88.0,75.0,89.0,93.0,90.0
Contra Costa,2018,137,2690,0.9854014598540146,1.0,6096,,3.0714285714285716,,79.92857142857143,79.57142857142857,77.42857142857143,82.64285714285714,85.85714285714286,86.92857142857143
El Dorado,2018,8,185,1.0,1.0,632,,4.0,,87.0,86.0,84.0,85.0,88.0,90.0
Fresno,2018,119,2467,0.9327731092436975,0.9327731092436975,5112,,2.6666666666666665,,78.11111111111111,77.66666666666667,79.88888888888889,82.77777777777777,83.77777777777777,84.88888888888889
Humboldt,2018,16,222,1.0,1.0,464,,3.0,,76.0,81.0,82.0,84.0,88.0,86.0
Imperial,2018,40,800,1.0,1.0,1448,,3.75,,85.0,84.0,83.5,87.25,88.5,89.25
Inyo,2018,8,96,0.0,0.0,0,,,,,,,,,
Kern,2018,126,2935,1.0,0.9285714285714286,4776,,3.7777777777777777,,80.66666666666667,81.55555555555556,83.77777777777777,84.0,87.44444444444444,89.44444444444444
Kings,2018,32,448,1.0,1.0,1096,,3.0,,83.0,78.0,78.33333333333333,88.33333333333333,84.33333333333333,87.0
Lake,2018,15,180,1.0,1.0,248,,5.0,,80.0,85.0,85.0,80.0,91.0,94.0
Los Angeles,2018,1393,32157,0.9842067480258435,0.8298636037329504,71876,,3.2738205365402404,,81.78075855689177,79.97039777983349,77.86031452358927,85.04625346901018,85.97872340425532,87.56429232192414
Madera,2018,26,484,0.9230769230769231,0.9230769230769231,776,,3.5,,76.0,81.5,80.0,82.0,87.5,89.0
Marin,2018,22,448,0.6363636363636364,1.0,694,,4.571428571428571,,81.0,84.57142857142857,78.28571428571429,86.85714285714286,89.85714285714286,91.71428571428571
Mendocino,2018,16,262,0.0,1.0,296,,5.0,,90.0,91.0,90.0,90.0,93.0,95.0
Merced,2018,48,1013,0.8333333333333334,1.0,1792,,4.5,,84.5,83.25,82.5,88.5,88.75,91.0
