YEAR,CNN,FAC_NAME,COUNTY,STATIONS,PROF_NP,CHAIN_OWN,CHAIN_ORG,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
2024,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,47,19,3,4,85.0,85.0,81.0,88.0,88.0,89.0
2023,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,52,22,4,4,79.0,82.0,79.0,87.0,88.0,89.0
2022,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,46,,4,,92.0,84.0,82.0,93.0,90.0,90.0
2021,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,39,,5,,88.0,85.0,91.0,93.0,95.0,96.0
2020,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,39,,5,,88.0,85.0,91.0,93.0,95.0,96.0
2019,52305,SANTA CLARA VALLEY RENAL CARE CENTER,Santa Clara,25,non_profit,no,Independent,43,,4,,86.0,80.0,87.0,86.0,88.0,93.0
2024,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,,,,,,,,,,
2023,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,34,18,5,4,87.0,82.0,69.0,93.0,89.0,95.0
2022,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,57,,5,,89.0,87.0,74.0,90.0,91.0,93.0
2021,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,,,,,,,,,,
2020,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,,,,,,,,,,
2019,52311,St. Joseph Hospital Renal Center,Orange,39,non_profit,no,Independent,47,,5,,91.0,88.0,80.0,94.0,93.0,95.0
2024,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2023,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2022,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2021,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2020,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2019,52321,Childrens Hospital of Los Angeles,Los Angeles,10,non_profit,no,Independent,,,,,,,,,,
2024,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,52,25,4,4,76.0,82.0,84.0,82.0,88.0,91.0
2023,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,63,32,4,3,77.0,80.0,80.0,83.0,87.0,90.0
2022,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,,,,,,,,,,
2021,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,63,,3,,78.0,76.0,79.0,84.0,85.0,84.0
2020,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,63,,3,,78.0,76.0,79.0,84.0,85.0,84.0
2019,52323,Kaiser Foundation Hospital Medical Ctr.- Sunset,Los Angeles,30,non_profit,yes,Kaiser Permanente,83,,3,,79.0,74.0,76.0,87.0,85.0,85.0
2024,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,,,,,,,,,,
2023,52334,Arrowhead Regional Medical Center,San Bernardino,8,non_profit,no,Independent,,,,,,,,,,
