YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000,AVG_AGE,FEML_PCT,MALE_PCT,RACE_WHT_PCT,RACE_BLACK_PCT,RACE_HSPNC_PCT,RACE_OTHR_PCT,DUAL_PCT
2014,Alameda,44860311.11,0.0423,473.67,32366.75,34809758.15,0.046,367.55,25115.27,1386,0.0146,2090.8909,71.0,0.5428,0.4572,0.4848,0.1603,0.1196,0.2354,0.3397
2014,Alpine,,,,,,,,,0,,,69.0,0.5699,0.4301,,,,,0.2694
2014,Amador,518681.43,0.0077,68.88,25934.07,438715.28,0.0084,58.26,21935.76,20,0.0027,437.8486,72.0,0.5278,0.4722,0.9284,0.0036,0.0408,0.0272,0.1251
2014,Butte,6445460.83,0.0156,147.62,24601.0,6033808.96,0.0172,138.19,23029.81,262,0.006,786.7302,71.0,0.54,0.46,0.8939,0.0113,0.0571,0.0377,0.2407
2014,Calaveras,1262893.08,0.015,129.41,28702.12,1111710.59,0.0176,113.92,25266.15,44,0.0045,737.1657,71.0,0.5134,0.4866,0.9186,0.0046,0.0488,0.028,0.1381
2014,Colusa,1040255.82,0.0381,361.83,27375.15,954483.67,0.0461,331.99,25117.99,38,0.0132,1968.6957,71.0,0.5057,0.4943,0.6584,0.0108,0.2835,0.0473,0.2692
2014,Contra Costa,29140575.63,0.0361,385.86,32450.53,22579354.93,0.038,298.98,25144.05,898,0.0119,1648.4071,71.0,0.5503,0.4497,0.658,0.0997,0.1156,0.1267,0.2518
2014,Del Norte,608406.74,0.0153,125.94,33800.37,538344.05,0.0164,111.44,29908.0,18,0.0037,831.2979,69.0,0.5223,0.4777,,,,,0.3016
2014,El Dorado,2489377.93,0.0119,109.24,26203.98,2081533.06,0.0127,91.34,21910.87,95,0.0042,489.9509,71.0,0.5222,0.4778,0.9063,0.0063,0.0479,0.0395,0.1566
2014,Fresno,28538328.8,0.0372,382.59,25756.61,26789522.29,0.0411,359.15,24178.27,1108,0.0149,2104.2337,71.0,0.5279,0.4721,0.578,0.0475,0.293,0.0815,0.3631
2014,Glenn,1097417.76,0.0236,221.84,25521.34,1026068.35,0.0268,207.41,23862.05,43,0.0087,1069.9414,72.0,0.526,0.474,0.7936,0.0075,0.1565,0.0424,0.2589
2014,Humboldt,2575731.38,0.014,108.8,24072.26,2312674.65,0.0158,97.69,21613.78,107,0.0045,584.6745,69.0,0.5257,0.4743,0.8903,0.0073,0.0321,0.0702,0.2442
2014,Imperial,11189721.97,0.0534,549.13,23119.26,11594216.7,0.0631,568.99,23954.99,484,0.0238,3156.9416,71.0,0.5088,0.4912,0.2523,0.016,0.7052,0.0265,0.5335
2014,Inyo,478004.76,0.0116,121.14,29875.3,431133.27,0.0148,109.26,26945.83,16,0.0041,603.1424,73.0,0.5294,0.4706,,,,,0.1916
2014,Kern,25439900.88,0.0393,432.68,25439.9,23859054.33,0.044,405.79,23859.05,1000,0.017,2368.4774,69.0,0.5203,0.4797,0.63,0.0522,0.265,0.0529,0.3767
2014,Kings,5385247.56,0.045,433.8,25047.66,5171663.08,0.0503,416.6,24054.25,215,0.0173,2603.1094,70.0,0.538,0.462,0.5628,0.0416,0.3424,0.0531,0.3314
2014,Lake,3012098.4,0.0203,206.07,26192.16,2678267.93,0.0241,183.23,23289.29,115,0.0079,997.3319,69.0,0.5169,0.4831,0.8777,0.0233,0.061,0.038,0.2975
2014,Lassen,476166.83,0.0133,112.78,19046.67,452847.98,0.0153,107.26,18113.92,25,0.0059,706.5372,70.0,0.5076,0.4924,0.8989,0.0092,0.0403,0.0516,0.2229
2014,Los Angeles,291818967.48,0.0393,542.14,25999.55,265752150.12,0.0436,493.71,23677.13,11224,0.0209,2784.1865,72.0,0.5507,0.4493,0.5356,0.0918,0.2002,0.1723,0.3714
2014,Madera,3281641.21,0.0291,249.12,21036.16,3399025.58,0.0349,258.03,21788.63,156,0.0118,1486.07,71.0,0.5135,0.4865,0.6522,0.0317,0.2771,0.0389,0.3276
2014,Marin,3701730.54,0.013,126.39,30847.75,2905198.14,0.0138,99.19,24209.98,120,0.0041,533.1877,74.0,0.5521,0.4479,0.8786,0.0177,0.037,0.0667,0.1275
2014,Mariposa,374608.95,0.0102,92.86,19716.26,335816.58,0.0114,83.25,17674.56,19,0.0047,649.7273,72.0,0.5136,0.4864,0.9175,0.0052,0.0384,0.0389,0.1544
2014,Mendocino,3126161.56,0.0216,176.6,29216.46,2696590.79,0.0247,152.33,25201.78,107,0.006,885.0977,70.0,0.5185,0.4815,0.8714,0.0068,0.0637,0.058,0.2677
2014,Merced,11078555.61,0.0395,396.9,25945.1,9911205.66,0.0448,355.07,23211.25,427,0.0153,2049.9409,71.0,0.5351,0.4649,0.553,0.0481,0.3299,0.069,0.3577
2014,Modoc,,,,,,,,,0,,,71.0,0.5193,0.4807,0.9068,0.007,0.0442,0.0419,0.2469
2014,Mono,,,,,,,,,0,,,72.0,0.4792,0.5208,,,,,0.117
2014,Monterey,15501622.19,0.0321,300.13,30635.62,12479801.05,0.0342,241.62,24663.64,506,0.0098,1405.1694,73.0,0.5522,0.4478,0.608,0.0297,0.2709,0.0914,0.225
2014,Napa,2555135.16,0.0182,178.98,29369.37,2081622.08,0.0196,145.81,23926.69,87,0.0061,794.8305,73.0,0.5089,0.4911,0.8207,0.0172,0.1119,0.0501,0.1645
2014,Nevada,2033492.21,0.0125,99.46,27113.23,1799325.15,0.0138,88.01,23991.0,75,0.0037,487.8454,72.0,0.527,0.473,0.9357,0.0029,0.0287,0.0326,0.1361
2014,Orange,61795853.14,0.028,314.2,25791.26,56896347.63,0.0304,289.29,23746.39,2396,0.0122,1650.4304,74.0,0.5561,0.4439,0.6695,0.0123,0.1079,0.2102,0.2573
2014,Placer,6254384.73,0.0201,181.79,29363.31,5129013.05,0.0208,149.08,24079.87,213,0.0062,847.3724,72.0,0.5392,0.4608,0.8782,0.0115,0.0547,0.0556,0.1386
2014,Plumas,357693.8,0.0087,72.16,22355.86,334745.28,0.0101,67.53,20921.58,16,0.0032,426.6694,71.0,0.5102,0.4898,0.9328,0.0042,0.0293,0.0337,0.1725
2014,Riverside,38630682.11,0.0315,339.57,24763.26,36245908.77,0.0345,318.61,23234.56,1560,0.0137,1853.7837,72.0,0.5239,0.4761,0.724,0.0546,0.1627,0.0588,0.1821
