"CMS Certification Number (CCN)","Network","Facility Name","Address Line 1","Address Line 2","City/Town","State","ZIP Code","County/Parish","Telephone Number","Profit or Non-Profit","Chain Owned","Chain Organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Star rating of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Survey of patients' experiences star rating","Survey response rate"
012306,8,CHILDRENS HOSPITAL DIALYSIS,1600 7TH AVENUE SOUTH,,BIRMINGHAM,AL,35233,Jefferson,(205) 638-9275,Non-profit,No,Independent,21OCT2022-14JUL2023,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012500,8,FMC CAPITOL CITY,255 S JACKSON STREET,,MONTGOMERY,AL,36104,Montgomery,(334) 263-1028,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,19,10,71,82,3,26,15,59,76,3,33,67,67,1,9,14,77,89,5,15,28,57,82,2,24,25,51,78,2,38,3,21
012501,8,DaVita Gadsden Dialysis,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,Etowah,(256) 547-2511,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012502,8,DaVita Tuscaloosa University Dialysis,220 15TH STREET,,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 345-6004,Profit,Yes,DaVita,21OCT2022-14JUL2023,001,24,14,62,78,2,25,23,52,74,2,24,76,76,2,16,18,66,85,4,12,32,56,84,2,17,16,67,86,3,30,3,21
012505,8,DaVita PDI-Montgomery,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,Montgomery,(334) 269-9416,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012506,8,DaVita Dothan Dialysis,216 GRACELAND DR.,,DOTHAN,AL,36305,Houston,(334) 793-4077,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012507,8,FMC MOBILE,2620 OLD SHELL RD,,MOBILE,AL,36607,Mobile,(251) 476-2762,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,23,18,59,76,2,24,21,55,75,2,17,83,83,4,19,33,48,78,2,9,35,56,85,3,14,28,58,84,2,57,3,31
012508,8,DaVita Birmingham East Dialysis,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 833-6003,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012509,8,FMC NORTH ALABAMA,1311 N MEMORIAL PKWY #200,,HUNTSVILLE,AL,35801,Madison,(256) 536-8571,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012512,8,FMC SELMA,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,Dallas,(334) 874-9021,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012513,8,BMA LANGDALE,8 MEDICAL PARK,,VALLEY,AL,36854,Chambers,(334) 756-4192,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,21,15,64,79,3,34,19,47,67,1,19,81,81,4,17,41,42,80,3,29,47,24,73,1,22,44,34,74,1,36,2,30
012515,8,FMC OPELIKA,2609 VILLAGE PROFESSIONAL DR,STE 2,OPELIKA,AL,36801,Lee,(334) 749-5085,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,001,22,17,61,78,2,24,23,53,74,2,20,80,80,4,14,36,50,81,3,15,38,47,80,2,22,32,46,78,2,56,3,33
012516,8,FRESENIUS KIDNEY CARE SOUTH AVENUE,3201 3rd AVE SOUTH,,BIRMINGHAM,AL,35222,Jefferson,(205) 209-3125,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012517,8,DaVita Athens Dialysis,15953 Athens Limestone Drive,,ATHENS,AL,35613,Limestone,(256) 233-4730,Profit,Yes,DaVita,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012519,8,FMC SCOTTSBORO,20998 JOHN T. REID HWY,,SCOTTSBORO,AL,35768,Jackson,(256) 259-4777,Profit,Yes,Fresenius Medical Care,21OCT2022-14JUL2023,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
