"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Total Performance Score","State Average Total Performance Score","National Average Total Performance Score","Payment Reduction Percentage"
"032302 MARICOPA MEDICAL CTR - DIALYSIS","032302","030022","2525 E ROOSEVELT ST","PHOENIX","AZ","85008","Network 15","71","64","64","0.0%"
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","032314","033302","1920 E CAMBRIDGE RD STE 102","PHOENIX","AZ","85016","Network 15","73","64","64","0.0%"
"032315 GILA RIVER DIALYSIS EAST","032315","031308","565 W SEED FARM RD","SACATON","AZ","85147","Network 15","70","64","64","0.0%"
"032316 Banner University Medical Center Pediatric Outpatient DIALYSIS UNIT","032316","030064","PO BOX 245148","TUCSON","AZ","85724","Network 15","No Score","64","64","0.0%"
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","032503","-","13090 N 94TH DR STE 100","PEORIA","AZ","85381","Network 15","69","64","64","0.0%"
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)","032508","-","1021 S 7TH AVE STE 108","PHOENIX","AZ","85007","Network 15","68","64","64","0.0%"
"032509 EAST VALLEY DIALYSIS (FMC)","032509","-","135 S POWER RD STE 103","MESA","AZ","85206","Network 15","50","64","64","0.5%"
"032514 DESERT DIALYSIS CENTER (DCI)","032514","-","2022 E PRINCE RD","TUCSON","AZ","85719","Network 15","69","64","64","0.0%"
"032516 CHANDLER DIALYSIS (FMC)","032516","-","912 W CHANDLER BLVD BLDG A-D","CHANDLER","AZ","85225","Network 15","48","64","64","0.5%"
"032517 CENTRAL PHX DIALYSIS (FMC)","032517","-","3421 N 7TH AVE","PHOENIX","AZ","85013","Network 15","62","64","64","0.0%"
"032521 DIALYSIS CENTER OF GLENDALE (FMC)","032521","-","5957 W NORTHERN AVE STE 108","GLENDALE","AZ","85301","Network 15","63","64","64","0.0%"
"032522 PARKER DIALYSIS CENTER (FMC)","032522","-","AGENCY ROAD BLDG 173","PARKER","AZ","85344","Network 15","74","64","64","0.0%"
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)","032524","-","2201 N VICKEY STREET, STE 120","FLAGSTAFF","AZ","86004","Network 15","76","64","64","0.0%"
"032526 USRC SOUTHWEST MESA","032526","-","1457 W SOUTHERN AVE STE 19","MESA","AZ","85202","Network 15","45","64","64","1.0%"
"032528 THUNDERBIRD DIALYSIS (FMC)","032528","-","5750 W THUNDERBIRD RD BLDG G #750","GLENDALE","AZ","85306","Network 15","64","64","64","0.0%"
"032530 DESERT VALLEY DIALYSIS (FMC)","032530","-","3815 E. BELL ROAD STE. 1100","PHOENIX","AZ","85032","Network 15","77","64","64","0.0%"
"032533 GLOBE DIALYSIS (FMC)","032533","-","2250 HIGHWAY 60 STE O-2","MIAMI","AZ","85539","Network 15","54","64","64","0.5%"
"032536 WINSLOW DIALYSIS CENTER (FMC)","032536","-","721 MIKE'S PIKE STREET","WINSLOW","AZ","86047","Network 15","59","64","64","0.0%"
"032537 ESTRELLA DIALYSIS CENTER (FMC)","032537","-","5546 W ROOSEVELT ST STE 1","PHOENIX","AZ","85043","Network 15","77","64","64","0.0%"
"032539 MESA DIALYSIS CENTER (FMC)","032539","-","1525 N GILBERT RD STE 121","GILBERT","AZ","85234","Network 15","46","64","64","1.0%"
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES","032540","-","1041 N ARIZOLA RD","CASA GRANDE","AZ","85122","Network 15","59","64","64","0.0%"
"032541 TEMPE DIALYSIS (FMC)","032541","-","1449 W SOUTHERN AVE","TEMPE","AZ","85282","Network 15","48","64","64","0.5%"
