County,Eligible,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
Alameda,"1,092,044","966,809","574,959","106,702","19,331","5,249","5,745","3,543",91,"5,521","245,668"
Percent,,88.53%,59.47%,11.04%,2.00%,0.54%,0.59%,0.37%,0.01%,0.57%,25.41%
,,,,,,,,,,,
Alpine,924,869,375,219,40,8,17,1,1,3,205
Percent,,94.05%,43.15%,25.20%,4.60%,0.92%,1.96%,0.12%,0.12%,0.35%,23.59%
,,,,,,,,,,,
Amador,"27,210","25,605","7,214","12,000","1,141",101,381,72,34,88,"4,574"
Percent,,94.10%,28.17%,46.87%,4.46%,0.39%,1.49%,0.28%,0.13%,0.34%,17.86%
,,,,,,,,,,,
Butte,"151,237","124,793","44,489","44,733","4,960",715,"1,660",512,491,969,"26,264"
Percent,,82.51%,35.65%,35.85%,3.97%,0.57%,1.33%,0.41%,0.39%,0.78%,21.05%
,,,,,,,,,,,
Calaveras,"35,949","31,364","8,537","14,440","1,489",150,520,100,143,270,"5,715"
Percent,,87.25%,27.22%,46.04%,4.75%,0.48%,1.66%,0.32%,0.46%,0.86%,18.22%
,,,,,,,,,,,
Colusa,"12,388","9,807","3,110","4,048",312,20,121,44,0,4,"2,148"
Percent,,79.17%,31.71%,41.28%,3.18%,0.20%,1.23%,0.45%,0.00%,0.04%,21.90%
,,,,,,,,,,,
Contra Costa,"758,611","703,021","369,254","134,553","20,406","2,700","5,529","2,545","2,809","2,178","163,047"
Percent,,92.67%,52.52%,19.14%,2.90%,0.38%,0.79%,0.36%,0.40%,0.31%,23.19%
,,,,,,,,,,,
Del Norte,"18,366","15,904","4,747","6,263",792,100,206,90,10,63,"3,633"
Percent,,86.59%,29.85%,39.38%,4.98%,0.63%,1.30%,0.57%,0.06%,0.40%,22.84%
,,,,,,,,,,,
El Dorado,"145,474","135,554","41,755","55,764","5,675",639,"2,202",373,13,867,"28,266"
Percent,,93.18%,30.80%,41.14%,4.19%,0.47%,1.62%,0.28%,0.01%,0.64%,20.85%
,,,,,,,,,,,
Fresno,"605,256","496,482","195,697","161,696","16,558","1,462","4,252","2,542","2,304","4,197","107,774"
Percent,,82.03%,39.42%,32.57%,3.34%,0.29%,0.86%,0.51%,0.46%,0.85%,21.71%
,,,,,,,,,,,
Glenn,"19,242","14,279","4,047","6,375",563,33,169,56,13,41,"2,982"
Percent,,74.21%,28.34%,44.65%,3.94%,0.23%,1.18%,0.39%,0.09%,0.29%,20.88%
,,,,,,,,,,,
Humboldt,"103,224","85,183","39,744","20,335","2,797","1,339","1,045",420,425,518,"18,560"
Percent,,82.52%,46.66%,23.87%,3.28%,1.57%,1.23%,0.49%,0.50%,0.61%,21.79%
,,,,,,,,,,,
Imperial,"99,790","84,676","40,381","17,017","2,201",229,566,633,903,366,"22,380"
Percent,,84.85%,47.69%,20.10%,2.60%,0.27%,0.67%,0.75%,1.07%,0.43%,26.43%
,,,,,,,,,,,
Inyo,"13,707","11,016","3,707","4,382",433,34,124,43,47,82,"2,164"
Percent,,80.37%,33.65%,39.78%,3.93%,0.31%,1.13%,0.39%,0.43%,0.74%,19.64%
,,,,,,,,,,,
Kern,"534,022","425,839","145,595","157,265","15,674","1,130","4,539","2,303","3,902","1,280","94,151"
Percent,,79.74%,34.19%,36.93%,3.68%,0.27%,1.07%,0.54%,0.92%,0.30%,22.11%
,,,,,,,,,,,
Kings,"82,674","60,100","19,995","23,874","1,981",147,644,275,420,280,"12,484"
Percent,,72.70%,33.27%,39.72%,3.30%,0.24%,1.07%,0.46%,0.70%,0.47%,20.77%
,,,,,,,,,,,
